P1,P1_House,Aspect,P2,P2_House,EventType,Type,Date,Time,Timezone,Age,Pos1_Deg,Pos1_Sign,Pos1_Dir,Pos2_Deg,Pos2_Sign,Pos2_Dir
Jupiter,2,Conjunction,Mars,2,Begin,Tr-Na,2001-08-03,00:00:00,AWST,4.999,4.433,Cancer,Dir,5.3,Cancer,Dir
Uranus,10,Semi-Square,Jupiter,8,Begin,Tr-Na,2001-08-03,00:00:00,AWST,4.999,23.367,Aquarius,Dir,9.367,Capricorn,Rx
Neptune,9,Sextile,Saturn,11,Begin,Tr-Na,2001-08-03,00:00:00,AWST,4.999,7.283,Aquarius,Dir,7.2,Aries,Rx
NorthNode,2,Conjunction,Mars,2,Begin,Tr-Na,2001-08-03,00:00:00,AWST,4.999,4.367,Cancer,Dir,5.3,Cancer,Dir
Neptune,9,Sextile,Moon,11,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,25.833,Capricorn,Dir,26.067,Pisces,Dir
Neptune,9,Quincunx,Venus,1,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,25.833,Capricorn,Dir,26.267,Gemini,Dir
Neptune,9,Conjunction,Neptune,9,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,25.833,Capricorn,Dir,25.95,Capricorn,Rx
Pluto,6,Conjunction,Pluto,6,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,0.333,Sagittarius,Dir,0.35,Sagittarius,Rx
Chiron,5,Sextile,Sun,3,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,11.5,Libra,Dir,10.633,Leo,Dir
Chiron,5,Conjunction,Chiron,5,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,11.5,Libra,Dir,10.983,Libra,Dir
Chiron,5,Conjunction,NorthNode,5,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,11.5,Libra,Dir,11.067,Libra,Rx
Chiron,5,Conjunction,NorthNode,5,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,11.5,Libra,Dir,10.8,Libra,Dir
NorthNode,5,Sextile,Sun,3,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,10.8,Libra,Dir,10.633,Leo,Dir
NorthNode,5,Conjunction,Chiron,5,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,10.8,Libra,Dir,10.983,Libra,Dir
NorthNode,5,Conjunction,NorthNode,5,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,10.8,Libra,Dir,11.067,Libra,Rx
ASC,1,Quincunx,Jupiter,8,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,9.4,Gemini,Dir,9.367,Capricorn,Rx
MC,10,Semi-Square,Saturn,11,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,21.467,Aquarius,Dir,7.2,Aries,Rx
Jupiter,8,Quincunx,ASC,1,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,8.933,Capricorn,Dir,9.4,Gemini,Dir
Saturn,11,Conjunction,Saturn,11,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,7.067,Aries,Dir,7.2,Aries,Rx
Saturn,11,Semi-Square,MC,10,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,7.067,Aries,Dir,21.467,Aquarius,Dir
Uranus,9,Quincunx,Mercury,4,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,2.067,Aquarius,Dir,1.6,Virgo,Dir
Uranus,9,Conjunction,Uranus,9,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,2.067,Aquarius,Dir,2.267,Aquarius,Rx
Mercury,4,Trine,Jupiter,8,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,9.167,Virgo,Dir,9.367,Capricorn,Rx
Mercury,4,Sextile,Mars,2,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,9.167,Virgo,Dir,8.617,Cancer,Dir
