P1,P1_House,Aspect,P2,P2_House,EventType,Type,Date,Time,Timezone,Age,Pos1_Deg,Pos1_Sign,Pos1_Dir,Pos2_Deg,Pos2_Sign,Pos2_Dir
Mercury,4,Trine,Jupiter,8,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,9.167,Virgo,Dir,8.933,Capricorn,Dir
Mercury,4,Square,ASC,1,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,9.167,Virgo,Dir,9.4,Gemini,Dir
Venus,2,Quincunx,Pluto,6,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,0.35,Cancer,Dir,0.35,Sagittarius,Rx
Venus,2,Quincunx,Pluto,6,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,0.35,Cancer,Dir,0.333,Sagittarius,Dir
Mars,2,Opposition,Jupiter,8,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,8.617,Cancer,Dir,9.367,Capricorn,Rx
Mars,2,Opposition,Jupiter,8,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,8.617,Cancer,Dir,8.933,Capricorn,Dir
Jupiter,8,Conjunction,Jupiter,8,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,8.933,Capricorn,Dir,9.367,Capricorn,Rx
Sun,3,Semi-Square,Venus,2,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,15.417,Leo,Dir,0.35,Cancer,Dir
Moon,12,Trine,Uranus,9,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,2.4,Gemini,Dir,2.267,Aquarius,Rx
Moon,12,Trine,Uranus,9,Begin,Sp-Sp,2001-08-03,00:00:00,AWST,4.999,2.4,Gemini,Dir,2.067,Aquarius,Dir
Moon,12,Square,Mercury,4,Begin,Sp-Na,2001-08-03,00:00:00,AWST,4.999,2.4,Gemini,Dir,1.6,Virgo,Dir
Uranus,10,Semi-Square,Jupiter,8,Leave,Tr-Na,2001-08-03,00:00:31,AWST,4.999,23.367,Aquarius,Rx,9.367,Capricorn,Rx
NorthNode,2,Conjunction,Mars,2,Leave,Tr-Na,2001-08-04,05:33:50,AWST,5.003,4.3,Cancer,Rx,5.3,Cancer,Dir
Neptune,9,Sextile,Saturn,11,Exact,Tr-Na,2001-08-05,21:57:26,AWST,5.007,7.2,Aquarius,Rx,7.2,Aries,Rx
Uranus,10,Semi-Square,Saturn,11,Enter,Tr-Na,2001-08-06,23:11:49,AWST,5.010,23.2,Aquarius,Rx,7.2,Aries,Rx
Jupiter,2,Conjunction,Mars,2,Exact,Tr-Na,2001-08-07,06:01:10,AWST,5.011,5.3,Cancer,Dir,5.3,Cancer,Dir
Moon,12,Square,Mercury,4,Leave,Sp-Na,2001-08-08,20:29:01,AWST,5.015,2.6,Gemini,Dir,1.6,Virgo,Dir
Jupiter,2,Square,Saturn,11,Enter,Tr-Na,2001-08-11,19:52:37,AWST,5.024,6.2,Cancer,Dir,7.2,Aries,Rx
Jupiter,2,Conjunction,Mars,2,Leave,Tr-Na,2001-08-12,06:53:31,AWST,5.025,6.3,Cancer,Dir,5.3,Cancer,Dir
Jupiter,2,Square,Saturn,11,Exact,Tr-Na,2001-08-17,00:15:21,AWST,5.038,7.2,Cancer,Dir,7.2,Aries,Rx
Jupiter,2,Square,Saturn,11,Leave,Tr-Na,2001-08-22,09:25:33,AWST,5.052,8.2,Cancer,Dir,7.2,Aries,Rx
Moon,12,Trine,Uranus,9,Leave,Sp-Sp,2001-08-22,11:27:55,AWST,5.053,3.067,Gemini,Dir,2.067,Aquarius,Rx
Jupiter,2,Opposition,Jupiter,8,Enter,Tr-Na,2001-08-23,05:50:51,AWST,5.055,8.367,Cancer,Dir,9.367,Capricorn,Rx
NorthNode,2,Quincunx,Uranus,9,Enter,Tr-Na,2001-08-23,18:11:09,AWST,5.056,3.267,Cancer,Rx,2.267,Aquarius,Rx
Pluto,7,Station,,,Direct,Tr,2001-08-24,00:07:44,AWST,5.057,12.533,Sagittarius,Dir,,,
Chiron,7,Station,,,Direct,Tr,2001-08-26,17:15:33,AWST,5.064,22.85,Sagittarius,Dir,,,
Moon,12,Trine,Uranus,9,Leave,Sp-Na,2001-08-28,07:19:41,AWST,5.069,3.267,Gemini,Dir,2.267,Aquarius,Rx
Jupiter,2,Opposition,Jupiter,8,Exact,Tr-Na,2001-08-28,22:05:09,AWST,5.070,9.367,Cancer,Dir,9.367,Capricorn,Rx
Moon,12,Conjunction,ASC,1,Enter,Sp-Na,2001-08-31,23:44:31,AWST,5.079,3.383,Gemini,Dir,4.383,Gemini,Dir
Uranus,10,Semi-Square,Saturn,11,Exact,Tr-Na,2001-09-01,09:02:04,AWST,5.080,22.2,Aquarius,Rx,7.2,Aries,Rx
Jupiter,2,Square,Chiron,5,Enter,Tr-Na,2001-09-01,15:45:56,AWST,5.081,9.983,Cancer,Dir,10.983,Libra,Dir
Jupiter,2,Square,NorthNode,5,Enter,Tr-Na,2001-09-02,01:55:22,AWST,5.082,10.067,Cancer,Dir,11.067,Libra,Rx
NorthNode,2,Sesquiquadrate,MC,10,Enter,Tr-Na,2001-09-03,18:14:28,AWST,5.086,2.683,Cancer,Rx,16.683,Aquarius,Dir
Jupiter,2,Opposition,Jupiter,8,Leave,Tr-Na,2001-09-03,22:17:16,AWST,5.087,10.367,Cancer,Dir,9.367,Capricorn,Rx
NorthNode,2,Sextile,Mercury,4,Enter,Tr-Na,2001-09-05,04:39:44,AWST,5.090,2.6,Cancer,Rx,1.6,Virgo,Dir
Jupiter,2,Square,Chiron,5,Exact,Tr-Na,2001-09-07,22:14:26,AWST,5.098,10.983,Cancer,Dir,10.983,Libra,Dir
Jupiter,2,Square,NorthNode,5,Exact,Tr-Na,2001-09-08,09:10:03,AWST,5.099,11.067,Cancer,Dir,11.067,Libra,Rx
NorthNode,2,Quincunx,Uranus,9,Exact,Tr-Na,2001-09-11,15:19:23,AWST,5.108,2.267,Cancer,Rx,2.267,Aquarius,Rx
Neptune,9,Quincunx,Mars,2,Enter,Tr-Na,2001-09-13,22:22:28,AWST,5.114,6.3,Aquarius,Rx,5.3,Cancer,Dir
Jupiter,2,Square,Chiron,5,Leave,Tr-Na,2001-09-14,17:39:36,AWST,5.116,11.983,Cancer,Dir,10.983,Libra,Dir
Jupiter,2,Square,NorthNode,5,Leave,Tr-Na,2001-09-15,05:40:57,AWST,5.118,12.067,Cancer,Dir,11.067,Libra,Rx
Neptune,9,Sextile,Saturn,11,Leave,Tr-Na,2001-09-19,11:43:53,AWST,5.129,6.2,Aquarius,Rx,7.2,Aries,Rx
Mercury,4,Trine,Jupiter,8,Exact,Sp-Na,2001-09-19,21:25:58,AWST,5.130,9.367,Virgo,Dir,9.367,Capricorn,Rx
NorthNode,2,Sesquiquadrate,MC,10,Exact,Tr-Na,2001-09-22,15:20:12,AWST,5.138,1.683,Cancer,Rx,16.683,Aquarius,Dir
NorthNode,2,Sextile,Mercury,4,Exact,Tr-Na,2001-09-24,01:47:16,AWST,5.142,1.6,Cancer,Rx,1.6,Virgo,Dir
Saturn,1,Station,,,Retrograde,Tr,2001-09-27,08:04:32,AWST,5.151,14.967,Gemini,Rx,,,
NorthNode,2,Quincunx,Pluto,6,Enter,Tr-Na,2001-09-29,00:34:36,AWST,5.155,1.35,Cancer,Rx,0.35,Sagittarius,Rx
Uranus,10,Sesquiquadrate,Mars,2,Enter,Tr-Na,2001-09-29,21:41:14,AWST,5.158,21.3,Aquarius,Rx,5.3,Cancer,Dir
NorthNode,2,Quincunx,Uranus,9,Leave,Tr-Na,2001-09-30,12:28:56,AWST,5.160,1.267,Cancer,Rx,2.267,Aquarius,Rx
Moon,1,Conjunction,HouseCusp,1,HouseChange,Sp-Na,2001-09-30,13:36:03,AWST,5.160,4.383,Gemini,Dir,4.383,Gemini,Dir
Moon,1,Conjunction,ASC,1,Exact,Sp-Na,2001-09-30,13:36:03,AWST,5.160,4.383,Gemini,Dir,4.383,Gemini,Dir
Uranus,10,Semi-Square,Saturn,11,Leave,Tr-Na,2001-10-03,19:40:47,AWST,5.169,21.2,Aquarius,Rx,7.2,Aries,Rx
Jupiter,2,Sesquiquadrate,Pluto,6,Enter,Tr-Na,2001-10-05,01:06:09,AWST,5.172,14.35,Cancer,Dir,0.35,Sagittarius,Rx
NorthNode,2,Sesquiquadrate,MC,10,Leave,Tr-Na,2001-10-11,12:29:45,AWST,5.190,0.683,Cancer,Rx,16.683,Aquarius,Dir
NorthNode,2,Sextile,Mercury,4,Leave,Tr-Na,2001-10-12,22:56:38,AWST,5.194,0.6,Cancer,Rx,1.6,Virgo,Dir
Chiron,7,Sesquiquadrate,Sun,3,Enter,Tr-Na,2001-10-15,11:57:57,AWST,5.201,24.633,Sagittarius,Dir,10.633,Leo,Dir
NorthNode,2,Quincunx,Pluto,6,Exact,Tr-Na,2001-10-17,21:39:40,AWST,5.207,0.35,Cancer,Rx,0.35,Sagittarius,Rx
Neptune,9,Station,,,Direct,Tr,2001-10-18,09:48:57,AWST,5.209,5.983,Aquarius,Dir,,,
Jupiter,2,Sesquiquadrate,Pluto,6,Exact,Tr-Na,2001-10-19,13:35:40,AWST,5.212,15.35,Cancer,Dir,0.35,Sagittarius,Rx
Chiron,7,Square,Moon,11,Enter,Tr-Na,2001-10-21,15:37:12,AWST,5.217,25.067,Sagittarius,Dir,26.067,Pisces,Dir
Chiron,7,Opposition,Venus,1,Enter,Tr-Na,2001-10-24,06:09:30,AWST,5.225,25.267,Sagittarius,Dir,26.267,Gemini,Dir
NorthNode,2,Conjunction,Gemini,2,SignIngress,Tr-Na,2001-10-24,12:45:59,AWST,5.225,0.0,Cancer,Rx,0.0,Cancer,Dir
Jupiter,2,Semi-Square,Mercury,4,Enter,Tr-Na,2001-10-27,01:59:19,AWST,5.232,15.6,Cancer,Dir,1.6,Virgo,Dir
ASC,1,Sextile,Sun,3,Enter,Sp-Na,2001-10-28,00:58:46,AWST,5.235,9.633,Gemini,Dir,10.633,Leo,Dir
Chiron,7,Sesquiquadrate,Sun,3,Exact,Tr-Na,2001-10-28,16:53:53,AWST,5.237,25.633,Sagittarius,Dir,10.633,Leo,Dir
Moon,1,Conjunction,ASC,1,Leave,Sp-Na,2001-10-30,04:33:39,AWST,5.241,5.383,Gemini,Dir,4.383,Gemini,Dir
Uranus,10,Station,,,Direct,Tr,2001-10-31,06:55:18,AWST,5.244,20.9,Aquarius,Dir,,,
Jupiter,2,Quincunx,MC,10,Enter,Tr-Na,2001-11-01,18:05:00,AWST,5.248,15.683,Cancer,Dir,16.683,Aquarius,Dir
Chiron,7,Square,Moon,11,Exact,Tr-Na,2001-11-02,22:29:31,AWST,5.251,26.067,Sagittarius,Dir,26.067,Pisces,Dir
Jupiter,2,Station,,,Retrograde,Tr,2001-11-02,23:34:42,AWST,5.251,15.683,Cancer,Rx,,,
Jupiter,2,Quincunx,MC,10,Leave,Tr-Na,2001-11-04,05:02:34,AWST,5.255,15.683,Cancer,Rx,16.683,Aquarius,Dir
Chiron,7,Opposition,Venus,1,Exact,Tr-Na,2001-11-05,05:01:50,AWST,5.257,26.267,Sagittarius,Dir,26.267,Gemini,Dir
NorthNode,2,Quincunx,Pluto,6,Leave,Tr-Na,2001-11-05,18:51:45,AWST,5.259,29.35,Gemini,Rx,0.35,Sagittarius,Rx
NorthNode,2,Conjunction,HouseCusp,2,HouseChange,Tr-Na,2001-11-08,04:22:22,AWST,5.265,29.217,Gemini,Rx,29.217,Gemini,Dir
Chiron,7,Sesquiquadrate,Sun,3,Leave,Tr-Na,2001-11-09,03:36:56,AWST,5.268,26.633,Sagittarius,Dir,10.633,Leo,Dir
Jupiter,2,Semi-Square,Mercury,4,Leave,Tr-Na,2001-11-09,20:14:02,AWST,5.270,15.6,Cancer,Rx,1.6,Virgo,Dir
Sun,3,Opposition,MC,10,Enter,Sp-Na,2001-11-11,03:59:10,AWST,5.274,15.683,Leo,Dir,16.683,Aquarius,Dir
Chiron,7,Square,Moon,11,Leave,Tr-Na,2001-11-13,21:04:29,AWST,5.281,27.067,Sagittarius,Dir,26.067,Pisces,Dir
Neptune,9,Sextile,Saturn,11,Enter,Tr-Na,2001-11-15,15:07:47,AWST,5.286,6.2,Aquarius,Dir,7.2,Aries,Rx
Chiron,7,Opposition,Venus,1,Leave,Tr-Na,2001-11-15,22:59:18,AWST,5.287,27.267,Sagittarius,Dir,26.267,Gemini,Dir
Jupiter,2,Sesquiquadrate,Pluto,6,Exact,Tr-Na,2001-11-17,06:18:23,AWST,5.290,15.35,Cancer,Rx,0.35,Sagittarius,Rx
Moon,1,Sextile,Saturn,11,Enter,Sp-Sp,2001-11-18,22:56:16,AWST,5.295,6.05,Gemini,Dir,7.05,Aries,Rx
Venus,2,Sextile,Mercury,4,Enter,Sp-Na,2001-11-20,03:14:37,AWST,5.298,0.6,Cancer,Dir,1.6,Virgo,Dir
Neptune,9,Quincunx,Mars,2,Leave,Tr-Na,2001-11-20,21:11:59,AWST,5.300,6.3,Aquarius,Dir,5.3,Cancer,Dir
Moon,1,Sextile,Saturn,11,Enter,Sp-Na,2001-11-23,12:02:19,AWST,5.307,6.2,Gemini,Dir,7.2,Aries,Rx
Saturn,1,Trine,NorthNode,5,Enter,Tr-Na,2001-11-26,17:05:58,AWST,5.316,12.067,Gemini,Rx,11.067,Libra,Rx
Uranus,10,Semi-Square,Saturn,11,Enter,Tr-Na,2001-11-27,03:45:22,AWST,5.317,21.2,Aquarius,Dir,7.2,Aries,Rx
Saturn,1,Trine,Chiron,5,Enter,Tr-Na,2001-11-27,13:45:15,AWST,5.319,11.983,Gemini,Rx,10.983,Libra,Dir
Saturn,1,Sesquiquadrate,Neptune,9,Enter,Tr-Na,2001-11-27,23:41:03,AWST,5.320,11.95,Gemini,Rx,25.95,Capricorn,Rx
Uranus,10,Sesquiquadrate,Mars,2,Leave,Tr-Na,2001-11-30,21:23:40,AWST,5.328,21.3,Aquarius,Dir,5.3,Cancer,Dir
Jupiter,2,Sesquiquadrate,Pluto,6,Leave,Tr-Na,2001-12-01,14:48:39,AWST,5.330,14.35,Cancer,Rx,0.35,Sagittarius,Rx
Saturn,1,Sextile,Sun,3,Enter,Tr-Na,2001-12-01,23:50:02,AWST,5.331,11.633,Gemini,Rx,10.633,Leo,Dir
Chiron,8,Conjunction,HouseCusp,8,HouseChange,Tr-Na,2001-12-05,00:39:16,AWST,5.339,29.217,Sagittarius,Dir,29.217,Sagittarius,Dir
Saturn,1,Trine,NorthNode,5,Exact,Tr-Na,2001-12-08,22:32:47,AWST,5.350,11.067,Gemini,Rx,11.067,Libra,Rx
Saturn,1,Trine,Chiron,5,Exact,Tr-Na,2001-12-09,19:05:18,AWST,5.352,10.983,Gemini,Rx,10.983,Libra,Dir
Saturn,1,Sesquiquadrate,Neptune,9,Exact,Tr-Na,2001-12-10,05:00:27,AWST,5.353,10.95,Gemini,Rx,25.95,Capricorn,Rx
Chiron,8,Conjunction,Capricorn,8,SignIngress,Tr-Na,2001-12-12,07:05:35,AWST,5.359,0.0,Capricorn,Dir,0.0,Capricorn,Dir
Saturn,1,Sextile,Sun,3,Exact,Tr-Na,2001-12-14,06:33:32,AWST,5.364,10.633,Gemini,Rx,10.633,Leo,Dir
NorthNode,1,Conjunction,Venus,1,Enter,Tr-Na,2001-12-14,20:48:21,AWST,5.366,27.267,Gemini,Rx,26.267,Gemini,Dir
Saturn,1,Quincunx,Jupiter,8,Enter,Tr-Na,2001-12-17,16:24:26,AWST,5.374,10.367,Gemini,Rx,9.367,Capricorn,Rx
Chiron,8,Trine,Mercury,4,Enter,Tr-Na,2001-12-17,23:21:37,AWST,5.374,0.6,Capricorn,Dir,1.6,Virgo,Dir
Moon,1,Sextile,Saturn,11,Exact,Sp-Sp,2001-12-18,13:46:01,AWST,5.376,7.05,Gemini,Dir,7.05,Aries,Rx
NorthNode,1,Square,Moon,11,Enter,Tr-Na,2001-12-18,15:30:07,AWST,5.376,27.067,Gemini,Rx,26.067,Pisces,Dir
Chiron,8,Semi-Square,MC,10,Enter,Tr-Na,2001-12-18,16:12:22,AWST,5.376,0.683,Capricorn,Dir,16.683,Aquarius,Dir
NorthNode,1,Quincunx,Neptune,9,Enter,Tr-Na,2001-12-20,20:04:02,AWST,5.382,26.95,Gemini,Rx,25.95,Capricorn,Rx
NorthNode,5,Trine,ASC,1,Enter,Sp-Sp,2001-12-21,11:59:31,AWST,5.384,10.783,Libra,Rx,9.783,Gemini,Dir
Saturn,1,Trine,NorthNode,5,Leave,Tr-Na,2001-12-21,15:02:21,AWST,5.384,10.067,Gemini,Rx,11.067,Libra,Rx
Jupiter,2,Square,NorthNode,5,Enter,Tr-Na,2001-12-21,20:00:00,AWST,5.385,12.067,Cancer,Rx,11.067,Libra,Rx
Jupiter,2,Square,Chiron,5,Enter,Tr-Na,2001-12-22,08:51:36,AWST,5.386,11.983,Cancer,Rx,10.983,Libra,Dir
Saturn,1,Trine,Chiron,5,Leave,Tr-Na,2001-12-22,13:31:54,AWST,5.387,9.983,Gemini,Rx,10.983,Libra,Dir
Venus,2,Sesquiquadrate,MC,10,Enter,Sp-Na,2001-12-22,19:29:02,AWST,5.388,0.683,Cancer,Dir,16.683,Aquarius,Dir
Pluto,7,Sextile,MC,10,Enter,Tr-Na,2001-12-22,20:31:49,AWST,5.388,15.683,Sagittarius,Dir,16.683,Aquarius,Dir
Saturn,1,Sesquiquadrate,Neptune,9,Leave,Tr-Na,2001-12-23,00:27:27,AWST,5.388,9.95,Gemini,Rx,25.95,Capricorn,Rx
Moon,1,Sextile,Saturn,11,Exact,Sp-Na,2001-12-23,04:56:55,AWST,5.389,7.2,Gemini,Dir,7.2,Aries,Rx
Neptune,9,Sextile,Saturn,11,Exact,Tr-Na,2001-12-25,13:26:35,AWST,5.395,7.2,Aquarius,Dir,7.2,Aries,Rx
Uranus,10,Semi-Square,Saturn,11,Exact,Tr-Na,2001-12-26,22:30:50,AWST,5.399,22.2,Aquarius,Dir,7.2,Aries,Rx
NorthNode,1,Semi-Square,Sun,3,Enter,Tr-Na,2001-12-27,00:23:03,AWST,5.399,26.633,Gemini,Rx,10.633,Leo,Dir
Chiron,8,Trine,Mercury,4,Exact,Tr-Na,2001-12-27,05:04:10,AWST,5.400,1.6,Capricorn,Dir,1.6,Virgo,Dir
Saturn,1,Sextile,Sun,3,Leave,Tr-Na,2001-12-27,14:23:17,AWST,5.401,9.633,Gemini,Rx,10.633,Leo,Dir
Chiron,8,Semi-Square,MC,10,Exact,Tr-Na,2001-12-27,21:57:37,AWST,5.402,1.683,Capricorn,Dir,16.683,Aquarius,Dir
Jupiter,2,Square,NorthNode,5,Exact,Tr-Na,2001-12-29,08:34:18,AWST,5.406,11.067,Cancer,Rx,11.067,Libra,Rx
Jupiter,2,Square,Chiron,5,Exact,Tr-Na,2001-12-29,20:58:11,AWST,5.407,10.983,Cancer,Rx,10.983,Libra,Dir
Saturn,1,Quincunx,Jupiter,8,Exact,Tr-Na,2001-12-31,14:42:40,AWST,5.412,9.367,Gemini,Rx,9.367,Capricorn,Rx
NorthNode,1,Conjunction,Venus,1,Exact,Tr-Na,2002-01-02,18:11:31,AWST,5.418,26.267,Gemini,Rx,26.267,Gemini,Dir
Mars,2,Opposition,Jupiter,8,Exact,Sp-Sp,2002-01-03,02:53:49,AWST,5.419,8.9,Cancer,Dir,8.9,Capricorn,Rx
Jupiter,2,Opposition,Jupiter,8,Enter,Tr-Na,2002-01-03,12:34:19,AWST,5.420,10.367,Cancer,Rx,9.367,Capricorn,Rx
Chiron,8,Trine,Mercury,4,Leave,Tr-Na,2002-01-05,12:45:13,AWST,5.425,2.6,Capricorn,Dir,1.6,Virgo,Dir
Jupiter,2,Square,NorthNode,5,Leave,Tr-Na,2002-01-05,18:05:13,AWST,5.426,10.067,Cancer,Rx,11.067,Libra,Rx
Chiron,8,Semi-Square,MC,10,Leave,Tr-Na,2002-01-06,05:55:59,AWST,5.427,2.683,Capricorn,Dir,16.683,Aquarius,Dir
Jupiter,2,Square,Chiron,5,Leave,Tr-Na,2002-01-06,06:32:20,AWST,5.427,9.983,Cancer,Rx,10.983,Libra,Dir
NorthNode,1,Square,Moon,11,Exact,Tr-Na,2002-01-06,12:48:36,AWST,5.428,26.067,Gemini,Rx,26.067,Pisces,Dir
Neptune,9,Sesquiquadrate,ASC,1,Enter,Sp-Sp,2002-01-06,17:09:54,AWST,5.428,25.817,Capricorn,Rx,9.817,Gemini,Dir
Pluto,7,Semi-Square,Uranus,9,Enter,Tr-Na,2002-01-08,00:59:23,AWST,5.432,16.267,Sagittarius,Dir,2.267,Aquarius,Rx
NorthNode,1,Quincunx,Neptune,9,Exact,Tr-Na,2002-01-08,17:21:35,AWST,5.434,25.95,Gemini,Rx,25.95,Capricorn,Rx
Jupiter,2,Opposition,Jupiter,8,Exact,Tr-Na,2002-01-11,00:18:51,AWST,5.440,9.367,Cancer,Rx,9.367,Capricorn,Rx
Moon,1,Quincunx,Jupiter,8,Enter,Sp-Sp,2002-01-12,14:21:49,AWST,5.445,7.9,Gemini,Dir,8.9,Capricorn,Rx
Chiron,8,Quincunx,ASC,1,Enter,Tr-Na,2002-01-12,23:33:20,AWST,5.446,3.383,Capricorn,Dir,4.383,Gemini,Dir
Mercury,4,Sesquiquadrate,Neptune,9,Enter,Sp-Sp,2002-01-14,04:56:27,AWST,5.449,9.817,Virgo,Dir,25.817,Capricorn,Rx
NorthNode,1,Semi-Square,Sun,3,Exact,Tr-Na,2002-01-14,21:46:56,AWST,5.451,25.633,Gemini,Rx,10.633,Leo,Dir
Uranus,10,Semi-Square,Saturn,11,Leave,Tr-Na,2002-01-16,12:44:09,AWST,5.455,23.2,Aquarius,Dir,7.2,Aries,Rx
Moon,1,Sextile,Saturn,11,Leave,Sp-Sp,2002-01-17,05:37:41,AWST,5.457,8.05,Gemini,Dir,7.05,Aries,Rx
Jupiter,2,Opposition,Jupiter,8,Leave,Tr-Na,2002-01-18,22:59:53,AWST,5.462,8.367,Cancer,Rx,9.367,Capricorn,Rx
Uranus,10,Semi-Square,Jupiter,8,Enter,Tr-Na,2002-01-19,10:02:16,AWST,5.463,23.367,Aquarius,Dir,9.367,Capricorn,Rx
Jupiter,2,Square,Saturn,11,Enter,Tr-Na,2002-01-20,06:09:28,AWST,5.466,8.2,Cancer,Rx,7.2,Aries,Rx
Saturn,1,Quincunx,Jupiter,8,Leave,Tr-Na,2002-01-20,07:54:20,AWST,5.466,8.367,Gemini,Rx,9.367,Capricorn,Rx
Pluto,7,Sextile,MC,10,Exact,Tr-Na,2002-01-21,00:13:32,AWST,5.468,16.683,Sagittarius,Dir,16.683,Aquarius,Dir
NorthNode,1,Conjunction,Venus,1,Leave,Tr-Na,2002-01-21,15:26:57,AWST,5.469,25.267,Gemini,Rx,26.267,Gemini,Dir
Chiron,8,Opposition,Mars,2,Enter,Tr-Na,2002-01-21,22:09:45,AWST,5.470,4.3,Capricorn,Dir,5.3,Cancer,Dir
Moon,1,Sextile,Saturn,11,Leave,Sp-Na,2002-01-21,22:54:01,AWST,5.470,8.2,Gemini,Dir,7.2,Aries,Rx
Neptune,9,Sextile,Saturn,11,Leave,Tr-Na,2002-01-22,10:43:41,AWST,5.472,8.2,Aquarius,Dir,7.2,Aries,Rx
Chiron,8,Quincunx,ASC,1,Exact,Tr-Na,2002-01-22,20:05:12,AWST,5.473,4.383,Capricorn,Dir,4.383,Gemini,Dir
Saturn,1,Sextile,Saturn,11,Enter,Tr-Na,2002-01-25,08:54:49,AWST,5.480,8.2,Gemini,Rx,7.2,Aries,Rx
NorthNode,1,Square,Moon,11,Leave,Tr-Na,2002-01-25,10:05:28,AWST,5.480,25.067,Gemini,Rx,26.067,Pisces,Dir
